DBMS,Mode,Threads,ThreadId,Ops,TotalMs,AvgMs,P95ms,P99ms,MaxMs
PostgreSQL,point_select,1,1,200,117.108,0.581,0.863,1.104,14.745
PostgreSQL,simple_tx,1,1,200,704.612,3.517,5.228,5.942,12.711
PostgreSQL,point_select,8,1,200,90.415,0.450,0.619,0.774,1.174
PostgreSQL,point_select,8,2,200,91.036,0.453,0.642,0.772,1.614
PostgreSQL,point_select,8,3,200,89.708,0.446,0.641,0.768,1.204
PostgreSQL,point_select,8,4,200,89.905,0.447,0.619,0.792,1.214
PostgreSQL,point_select,8,5,200,90.450,0.450,0.605,0.797,1.271
PostgreSQL,point_select,8,6,200,89.855,0.447,0.624,0.790,1.213
PostgreSQL,point_select,8,7,200,90.527,0.450,0.613,0.807,1.447
PostgreSQL,point_select,8,8,200,88.557,0.441,0.593,0.797,1.214
PostgreSQL,simple_tx,8,1,200,935.286,4.674,6.073,6.310,8.062
PostgreSQL,simple_tx,8,2,200,938.893,4.691,6.096,6.349,8.209
PostgreSQL,simple_tx,8,3,200,945.849,4.726,6.108,6.449,8.245
PostgreSQL,simple_tx,8,4,200,941.375,4.704,6.071,6.301,8.086
PostgreSQL,simple_tx,8,5,200,941.675,4.706,6.127,6.325,8.311
PostgreSQL,simple_tx,8,6,200,942.674,4.710,6.073,6.437,8.109
PostgreSQL,simple_tx,8,7,200,937.976,4.687,6.057,6.330,8.372
PostgreSQL,simple_tx,8,8,200,940.413,4.699,6.058,6.421,8.086
PostgreSQL,point_select,16,1,200,123.770,0.616,0.992,1.230,2.514
PostgreSQL,point_select,16,2,200,123.902,0.617,0.976,1.366,2.503
PostgreSQL,point_select,16,3,200,122.947,0.612,0.965,1.278,2.408
PostgreSQL,point_select,16,4,200,126.774,0.632,1.022,1.408,2.493
PostgreSQL,point_select,16,5,200,124.528,0.620,1.001,1.407,2.299
PostgreSQL,point_select,16,6,200,123.476,0.615,0.930,1.337,2.438
PostgreSQL,point_select,16,7,200,125.537,0.626,0.985,1.201,2.440
PostgreSQL,point_select,16,8,200,125.048,0.623,0.976,1.421,1.957
PostgreSQL,point_select,16,9,200,125.317,0.624,0.981,1.444,2.085
PostgreSQL,point_select,16,10,200,126.859,0.632,0.945,1.309,2.532
PostgreSQL,point_select,16,11,200,124.913,0.622,0.968,1.468,2.424
PostgreSQL,point_select,16,12,200,124.569,0.621,0.976,1.241,2.504
PostgreSQL,point_select,16,13,200,124.161,0.619,0.990,1.291,2.488
PostgreSQL,point_select,16,14,200,124.176,0.619,0.956,1.482,2.391
PostgreSQL,point_select,16,15,200,123.643,0.616,0.947,1.717,2.454
PostgreSQL,point_select,16,16,200,123.863,0.617,0.980,1.304,2.429
PostgreSQL,simple_tx,16,1,200,1052.395,5.259,6.810,7.815,7.858
PostgreSQL,simple_tx,16,2,200,1043.020,5.213,6.370,7.299,7.877
PostgreSQL,simple_tx,16,3,200,1042.161,5.208,6.455,7.351,7.911
PostgreSQL,simple_tx,16,4,200,1042.980,5.212,6.457,7.768,7.915
PostgreSQL,simple_tx,16,5,200,1048.601,5.240,6.561,7.874,9.829
PostgreSQL,simple_tx,16,6,200,1035.201,5.174,6.302,7.321,8.096
PostgreSQL,simple_tx,16,7,200,1050.086,5.248,6.547,7.784,7.890
PostgreSQL,simple_tx,16,8,200,1035.079,5.173,6.383,7.305,7.777
PostgreSQL,simple_tx,16,9,200,1035.155,5.173,6.374,7.126,7.858
PostgreSQL,simple_tx,16,10,200,1048.713,5.241,6.577,7.804,7.948
PostgreSQL,simple_tx,16,11,200,1034.320,5.169,6.354,7.312,7.858
PostgreSQL,simple_tx,16,12,200,1028.550,5.140,6.282,7.404,8.687
PostgreSQL,simple_tx,16,13,200,1052.986,5.263,6.758,7.778,7.804
PostgreSQL,simple_tx,16,14,200,1047.472,5.235,6.624,7.797,9.098
PostgreSQL,simple_tx,16,15,200,1034.066,5.167,6.325,7.240,7.948
PostgreSQL,simple_tx,16,16,200,1048.540,5.240,6.798,7.894,8.040
PostgreSQL,point_select,32,1,200,200.811,1.002,1.671,2.159,4.062
PostgreSQL,point_select,32,2,200,192.960,0.963,1.691,2.227,2.578
PostgreSQL,point_select,32,3,200,194.008,0.967,1.644,2.127,2.166
PostgreSQL,point_select,32,4,200,196.939,0.983,1.813,2.044,2.238
PostgreSQL,point_select,32,5,200,195.845,0.977,1.644,2.526,3.472
PostgreSQL,point_select,32,6,200,190.772,0.951,1.661,2.171,3.808
PostgreSQL,point_select,32,7,200,190.815,0.952,1.599,1.876,2.281
PostgreSQL,point_select,32,8,200,192.762,0.962,1.615,2.549,2.691
PostgreSQL,point_select,32,9,200,191.846,0.957,1.515,1.899,2.215
PostgreSQL,point_select,32,10,200,188.145,0.939,1.505,2.064,2.255
PostgreSQL,point_select,32,11,200,197.878,0.987,1.623,2.315,4.812
PostgreSQL,point_select,32,12,200,193.334,0.965,1.622,2.089,3.004
PostgreSQL,point_select,32,13,200,194.006,0.968,1.495,2.127,5.902
PostgreSQL,point_select,32,14,200,189.132,0.943,1.644,2.112,2.205
PostgreSQL,point_select,32,15,200,196.750,0.982,1.828,2.483,2.721
PostgreSQL,point_select,32,16,200,197.429,0.985,1.735,2.403,2.885
PostgreSQL,point_select,32,17,200,193.877,0.967,1.680,2.077,2.911
PostgreSQL,point_select,32,18,200,190.489,0.950,1.736,2.514,3.565
PostgreSQL,point_select,32,19,200,195.124,0.973,1.646,2.764,4.094
PostgreSQL,point_select,32,20,200,191.537,0.956,1.618,1.844,2.016
PostgreSQL,point_select,32,21,200,186.908,0.932,1.502,2.017,2.362
PostgreSQL,point_select,32,22,200,191.273,0.954,1.588,1.776,2.299
PostgreSQL,point_select,32,23,200,188.955,0.943,1.660,2.485,2.769
PostgreSQL,point_select,32,24,200,194.398,0.970,1.591,2.445,4.111
PostgreSQL,point_select,32,25,200,182.504,0.910,1.430,1.757,2.312
PostgreSQL,point_select,32,26,200,193.872,0.967,1.640,2.514,4.105
PostgreSQL,point_select,32,27,200,190.214,0.949,1.675,2.138,2.209
PostgreSQL,point_select,32,28,200,187.799,0.937,1.551,1.812,2.396
PostgreSQL,point_select,32,29,200,191.686,0.956,1.597,2.055,3.150
PostgreSQL,point_select,32,30,200,187.813,0.937,1.515,1.678,2.694
PostgreSQL,point_select,32,31,200,192.563,0.961,1.628,3.085,4.094
PostgreSQL,point_select,32,32,200,186.163,0.929,1.492,2.002,2.269
PostgreSQL,simple_tx,32,1,200,1217.786,6.086,8.873,9.647,12.033
PostgreSQL,simple_tx,32,2,200,1207.652,6.035,9.031,9.709,12.183
PostgreSQL,simple_tx,32,3,200,1195.582,5.975,9.100,10.319,12.204
PostgreSQL,simple_tx,32,4,200,1223.363,6.114,8.933,9.544,12.172
PostgreSQL,simple_tx,32,5,200,1206.563,6.030,8.982,9.654,11.935
PostgreSQL,simple_tx,32,6,200,1201.013,6.002,9.048,10.655,11.928
PostgreSQL,simple_tx,32,7,200,1214.684,6.071,9.054,10.878,12.058
PostgreSQL,simple_tx,32,8,200,1199.808,5.996,8.896,9.725,12.113
PostgreSQL,simple_tx,32,9,200,1192.117,5.958,9.114,10.193,12.203
PostgreSQL,simple_tx,32,10,200,1210.103,6.048,8.884,9.910,12.199
PostgreSQL,simple_tx,32,11,200,1200.515,6.000,8.963,9.517,12.368
PostgreSQL,simple_tx,32,12,200,1216.109,6.078,9.001,9.480,12.245
PostgreSQL,simple_tx,32,13,200,1203.132,6.013,8.743,10.441,11.707
PostgreSQL,simple_tx,32,14,200,1214.917,6.072,9.169,10.232,12.314
PostgreSQL,simple_tx,32,15,200,1187.030,5.932,8.806,9.599,12.067
PostgreSQL,simple_tx,32,16,200,1192.155,5.958,9.017,9.554,12.018
PostgreSQL,simple_tx,32,17,200,1209.186,6.043,8.868,10.353,11.744
PostgreSQL,simple_tx,32,18,200,1199.266,5.993,8.840,11.022,12.046
PostgreSQL,simple_tx,32,19,200,1208.945,6.041,8.871,9.968,11.965
PostgreSQL,simple_tx,32,20,200,1196.410,5.979,8.973,9.698,12.221
PostgreSQL,simple_tx,32,21,200,1191.206,5.953,8.890,9.986,12.159
PostgreSQL,simple_tx,32,22,200,1201.171,6.003,8.934,9.911,11.686
PostgreSQL,simple_tx,32,23,200,1202.726,6.010,8.802,9.615,12.100
PostgreSQL,simple_tx,32,24,200,1200.243,5.998,8.962,9.748,12.231
PostgreSQL,simple_tx,32,25,200,1201.144,6.002,8.965,9.793,12.230
PostgreSQL,simple_tx,32,26,200,1209.382,6.044,8.995,9.525,11.882
PostgreSQL,simple_tx,32,27,200,1195.464,5.974,9.010,10.390,15.464
PostgreSQL,simple_tx,32,28,200,1198.014,5.986,8.883,10.459,13.443
PostgreSQL,simple_tx,32,29,200,1190.238,5.948,8.726,10.225,12.088
PostgreSQL,simple_tx,32,30,200,1205.375,6.024,9.002,10.208,12.137
PostgreSQL,simple_tx,32,31,200,1186.594,5.930,8.751,10.258,11.789
PostgreSQL,simple_tx,32,32,200,1208.691,6.040,8.907,10.403,11.749
openGauss,point_select,1,1,200,90.336,0.449,0.638,1.211,1.803
openGauss,simple_tx,1,1,200,1085.951,5.425,6.876,7.282,9.161
openGauss,point_select,8,1,200,98.532,0.490,0.668,0.781,0.800
openGauss,point_select,8,2,200,98.287,0.489,0.699,0.802,1.036
openGauss,point_select,8,3,200,100.351,0.499,0.683,0.829,0.906
openGauss,point_select,8,4,200,99.314,0.494,0.671,0.846,0.979
openGauss,point_select,8,5,200,96.508,0.480,0.633,0.736,0.988
openGauss,point_select,8,6,200,97.738,0.486,0.642,0.815,0.901
openGauss,point_select,8,7,200,99.218,0.494,0.683,0.947,1.027
openGauss,point_select,8,8,200,96.638,0.481,0.621,0.703,0.962
openGauss,simple_tx,8,1,200,1117.161,5.582,7.060,10.116,11.029
openGauss,simple_tx,8,2,200,1116.597,5.580,7.110,10.047,11.111
openGauss,simple_tx,8,3,200,1115.740,5.575,7.058,10.142,11.040
openGauss,simple_tx,8,4,200,1117.308,5.583,7.070,10.023,11.032
openGauss,simple_tx,8,5,200,1114.597,5.570,7.091,10.070,11.101
openGauss,simple_tx,8,6,200,1115.631,5.575,7.041,10.126,11.028
openGauss,simple_tx,8,7,200,1116.395,5.579,7.074,10.128,11.062
openGauss,simple_tx,8,8,200,1117.144,5.582,7.062,10.111,11.129
openGauss,point_select,16,1,200,147.601,0.735,1.085,1.521,2.194
openGauss,point_select,16,2,200,151.873,0.756,1.141,1.516,1.942
openGauss,point_select,16,3,200,147.850,0.737,1.008,1.626,1.900
openGauss,point_select,16,4,200,147.555,0.735,1.013,1.912,2.001
openGauss,point_select,16,5,200,149.660,0.746,1.039,2.010,2.085
openGauss,point_select,16,6,200,146.374,0.729,1.077,1.991,2.097
openGauss,point_select,16,7,200,141.846,0.706,0.957,1.684,1.976
openGauss,point_select,16,8,200,148.273,0.739,1.118,1.898,2.060
openGauss,point_select,16,9,200,143.649,0.716,1.022,1.790,1.940
openGauss,point_select,16,10,200,149.463,0.744,1.039,2.012,2.185
openGauss,point_select,16,11,200,145.717,0.726,1.056,1.782,2.030
openGauss,point_select,16,12,200,145.987,0.727,1.097,1.915,2.180
openGauss,point_select,16,13,200,146.180,0.728,1.022,1.704,2.060
openGauss,point_select,16,14,200,146.298,0.729,1.019,1.827,2.138
openGauss,point_select,16,15,200,146.254,0.729,1.117,1.913,1.996
openGauss,point_select,16,16,200,147.419,0.734,1.067,1.967,2.344
openGauss,simple_tx,16,1,200,1465.505,7.323,9.628,11.667,15.285
openGauss,simple_tx,16,2,200,1467.165,7.332,9.418,11.901,15.270
openGauss,simple_tx,16,3,200,1465.956,7.326,9.472,12.173,15.647
openGauss,simple_tx,16,4,200,1465.506,7.323,9.693,11.507,15.112
openGauss,simple_tx,16,5,200,1467.282,7.332,9.397,12.286,15.381
openGauss,simple_tx,16,6,200,1467.593,7.334,9.552,11.650,15.439
openGauss,simple_tx,16,7,200,1474.023,7.366,9.767,12.705,15.388
openGauss,simple_tx,16,8,200,1473.143,7.361,9.541,11.978,15.557
openGauss,simple_tx,16,9,200,1462.095,7.306,9.506,11.929,15.387
openGauss,simple_tx,16,10,200,1475.198,7.372,9.637,12.433,19.138
openGauss,simple_tx,16,11,200,1469.120,7.342,9.610,11.357,15.031
openGauss,simple_tx,16,12,200,1468.571,7.339,9.356,12.043,15.397
openGauss,simple_tx,16,13,200,1461.947,7.305,9.585,11.971,15.474
openGauss,simple_tx,16,14,200,1461.212,7.301,9.725,11.214,15.059
openGauss,simple_tx,16,15,200,1466.146,7.326,9.402,11.301,15.365
openGauss,simple_tx,16,16,200,1467.453,7.333,9.413,11.859,15.341
openGauss,point_select,32,1,200,258.938,1.291,1.859,2.210,2.272
openGauss,point_select,32,2,200,266.008,1.327,2.009,2.354,2.419
openGauss,point_select,32,3,200,261.790,1.306,1.934,2.709,4.701
openGauss,point_select,32,4,200,252.581,1.260,1.770,2.163,2.378
openGauss,point_select,32,5,200,265.311,1.323,1.848,2.219,2.505
openGauss,point_select,32,6,200,260.275,1.298,1.838,2.313,2.484
openGauss,point_select,32,7,200,251.450,1.254,1.808,2.181,2.511
openGauss,point_select,32,8,200,259.372,1.294,1.824,2.210,3.342
openGauss,point_select,32,9,200,260.794,1.301,1.860,2.206,2.304
openGauss,point_select,32,10,200,255.170,1.273,1.848,2.442,2.862
openGauss,point_select,32,11,200,262.553,1.309,1.882,2.174,2.433
openGauss,point_select,32,12,200,263.521,1.315,1.891,2.386,2.503
openGauss,point_select,32,13,200,254.096,1.267,1.833,2.225,2.507
openGauss,point_select,32,14,200,259.294,1.293,1.848,2.197,2.615
openGauss,point_select,32,15,200,256.765,1.281,1.904,2.104,2.433
openGauss,point_select,32,16,200,263.318,1.313,2.000,2.285,2.870
openGauss,point_select,32,17,200,267.863,1.336,2.054,2.937,4.592
openGauss,point_select,32,18,200,256.147,1.278,1.885,2.386,2.453
openGauss,point_select,32,19,200,260.552,1.299,1.844,2.457,2.724
openGauss,point_select,32,20,200,264.493,1.319,1.854,2.202,2.477
openGauss,point_select,32,21,200,263.807,1.316,2.007,2.447,4.507
openGauss,point_select,32,22,200,257.585,1.285,1.929,2.343,2.654
openGauss,point_select,32,23,200,258.457,1.289,1.847,2.151,2.429
openGauss,point_select,32,24,200,263.014,1.311,1.838,2.414,2.456
openGauss,point_select,32,25,200,261.034,1.302,1.911,2.286,2.490
openGauss,point_select,32,26,200,258.590,1.290,1.837,2.220,2.649
openGauss,point_select,32,27,200,259.920,1.297,1.775,1.963,2.121
openGauss,point_select,32,28,200,261.932,1.306,1.782,2.183,4.705
openGauss,point_select,32,29,200,257.542,1.284,1.893,2.461,2.525
openGauss,point_select,32,30,200,262.863,1.311,1.830,2.378,2.504
openGauss,point_select,32,31,200,263.604,1.315,2.036,2.269,2.569
openGauss,point_select,32,32,200,257.819,1.286,1.850,2.171,2.650
openGauss,simple_tx,32,1,200,1378.983,6.891,8.703,9.336,12.586
openGauss,simple_tx,32,2,200,1405.766,7.025,8.782,11.125,12.640
openGauss,simple_tx,32,3,200,1383.913,6.916,8.822,9.400,11.197
openGauss,simple_tx,32,4,200,1408.027,7.037,8.883,11.096,13.289
openGauss,simple_tx,32,5,200,1398.717,6.990,8.778,11.063,12.694
openGauss,simple_tx,32,6,200,1399.258,6.993,8.953,10.353,11.994
openGauss,simple_tx,32,7,200,1402.993,7.011,8.876,9.286,12.551
openGauss,simple_tx,32,8,200,1397.385,6.983,8.827,9.776,11.033
openGauss,simple_tx,32,9,200,1401.412,7.004,8.805,10.507,12.636
openGauss,simple_tx,32,10,200,1395.563,6.974,8.789,9.534,13.248
openGauss,simple_tx,32,11,200,1395.579,6.975,8.793,9.325,11.966
openGauss,simple_tx,32,12,200,1386.047,6.927,8.756,9.644,10.283
openGauss,simple_tx,32,13,200,1405.177,7.023,8.898,9.832,12.661
openGauss,simple_tx,32,14,200,1395.271,6.973,8.739,9.358,12.151
openGauss,simple_tx,32,15,200,1386.595,6.929,8.749,9.418,12.425
openGauss,simple_tx,32,16,200,1392.342,6.958,9.012,10.630,12.754
openGauss,simple_tx,32,17,200,1383.128,6.912,8.788,9.387,12.573
openGauss,simple_tx,32,18,200,1395.277,6.973,8.954,10.368,12.815
openGauss,simple_tx,32,19,200,1396.456,6.979,8.711,9.405,12.664
openGauss,simple_tx,32,20,200,1390.342,6.948,8.894,9.788,12.630
openGauss,simple_tx,32,21,200,1377.427,6.883,8.593,9.179,12.506
openGauss,simple_tx,32,22,200,1396.396,6.978,8.810,9.657,13.443
openGauss,simple_tx,32,23,200,1395.802,6.976,8.646,9.712,12.001
openGauss,simple_tx,32,24,200,1391.761,6.955,8.892,9.581,10.611
openGauss,simple_tx,32,25,200,1403.026,7.012,8.933,10.315,12.657
openGauss,simple_tx,32,26,200,1373.533,6.864,8.578,9.287,11.536
openGauss,simple_tx,32,27,200,1405.207,7.023,8.810,9.941,12.730
openGauss,simple_tx,32,28,200,1393.723,6.965,8.854,10.542,12.072
openGauss,simple_tx,32,29,200,1398.799,6.990,8.811,9.827,12.384
openGauss,simple_tx,32,30,200,1387.019,6.932,8.646,9.302,12.118
openGauss,simple_tx,32,31,200,1387.621,6.935,8.731,9.312,12.645
openGauss,simple_tx,32,32,200,1391.805,6.956,8.867,9.255,12.333
